id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,yr_built,zipcode
7129300520,2014,221900,3,1,1180,5650,1,3,1955,98178
6414100192,2014,538000,3,2.25,2570,7242,2,3,1951,98125
5631500400,2015,180000,2,1,770,10000,1,3,1933,98028
2487200875,2014,604000,4,3,1960,,1,5,1965,98136
1954400510,2015,510000,3,2,1680,8080,1,3,1987,98074
7237550310,2014,1.225E+06,4,4.5,5420,101930,1,3,2001,98053
1321400060,2014,257500,3,2.25,1715,6819,2,3,1995,98003
2008000270,2015,291850,3,1.5,1060,9711,1,3,1963,98198
2414600126,2015,229500,3,1,1780,7470,1,3,1960,98146
3793500160,2015,323000,3,2.5,1890,6560,2,3,2003,98038
1736800520,2015,662500,3,2.5,3560,9796,1,3,1965,98007
9212900260,2014,468000,2,1,1160,6000,1,4,1942,98115
114101516,2014,310000,3,1,1430,19901,1.5,4,1927,98028
6054650070,2014,400000,3,1.75,1370,9680,1,4,1977,98074
1175000570,2015,530000,5,2,1810,4850,1.5,3,1900,98107
9297300055,2015,650000,4,3,2950,5000,2,3,1979,98126
1875500060,2014,395000,3,2,1890,14040,2,3,1994,98019
6865200140,2014,485000,4,1,1600,4300,1.5,4,1916,98103
16000397,2014,189000,2,1,1200,9850,1,4,1921,98002
7983200060,2015,230000,3,1,1250,9774,1,4,1969,98003
6300500875,2014,385000,4,1.75,1620,4980,1,4,1947,98133
2524049179,2014,2E+06,3,2.75,3050,44867,1,3,1968,98040
7137970340,2014,285000,5,2.5,2270,6300,2,3,1995,98092
8091400200,2014,252700,2,1.5,1070,9643,1,3,1985,98030
3814700200,2014,329000,3,2.25,2450,6500,2,4,1985,98030
1202000200,2014,233000,3,2,1710,4697,1.5,5,1941,98002
1794500383,2014,937000,3,1.75,2450,2691,2,3,1915,98119
3303700376,2014,667000,3,1,1400,1581,1.5,5,1909,98112
5101402488,2014,438000,3,1.75,1520,6380,1,3,1948,98115
1873100390,2015,719000,4,2.5,2570,7173,2,3,2005,98052
8562750320,2014,580500,3,2.5,2320,3980,2,3,2003,98027
2426039314,2014,280000,2,1.5,1190,1265,3,3,2005,98133
461000390,2014,687500,4,1.75,2330,5000,1.5,4,1929,98117
7589200193,2014,535000,3,1,1090,3000,1.5,4,1929,98117
7955080270,2014,322500,4,2.75,2060,6659,1,3,1981,98058
9547205180,2014,696000,3,2.5,2300,3060,1.5,3,1930,98115
9435300030,2014,550000,4,1,1660,34848,1,1,1933,98052
2768000400,2014,640000,4,2,2360,6000,2,4,1904,98107
7895500070,2015,240000,4,1,1220,8075,1,2,1969,98001
2078500320,2014,605000,4,2.5,2620,7553,2,3,1996,98056
5547700270,2014,625000,4,2.5,2570,5520,2,3,2000,98074
7766200013,2014,775000,4,2.25,4220,24186,1,3,1984,98166
7203220400,2014,861990,5,2.75,3595,5639,2,3,2014,98053
9270200160,2014,685000,3,1,1570,2280,2,3,1922,98119
1432701230,2014,309000,3,1,1280,9656,1,4,1959,98058
8035350320,2014,488000,3,2.5,3160,13603,2,3,2003,98019
8945200830,2015,210490,3,1,990,8528,1,3,1966,98023
4178300310,2014,785000,4,2.5,2290,13416,2,4,1981,98007
9215400105,2015,450000,3,1.75,1250,5963,1,4,1953,98115
822039084,2015,1.35E+06,3,2.5,2753,65005,1,5,1953,98070
5245600105,2014,228000,3,1,1190,9199,1,3,1955,98148
7231300125,2015,345000,5,2.5,3150,9134,1,4,1966,98056
7518505990,2014,600000,3,1.75,1410,4080,1,4,1950,98117
3626039271,2015,585000,2,1.75,1980,8550,1,3,1981,98117
4217401195,2015,920000,5,2.25,2730,6000,1.5,3,1927,98105
9822700295,2014,885000,4,2.5,2830,5000,2,3,1995,98105
9478500640,2014,292500,4,2.5,2250,4495,2,3,2008,98042
2799800710,2015,301000,3,2.5,2420,4750,2,3,2003,98042
7922800400,2014,951000,5,3.25,3250,14342,2,4,1968,98008
8079040320,2015,430000,4,3,1850,9976,2,3,1991,98059
1516000055,2014,650000,3,2.25,2150,21235,1,4,1959,98166
